sensor_id,zone_id,timestamp,vehicle_count,avg_speed_kmh,congestion_level,source
TRF-zone-01-hitech-city-001,zone-01-hitech-city,2026-06-11 08:00:00,245,18.5,HIGH,batch
TRF-zone-01-hitech-city-002,zone-01-hitech-city,2026-06-11 08:00:00,198,22.3,HIGH,batch
TRF-zone-01-hitech-city-003,zone-01-hitech-city,2026-06-11 08:00:00,167,28.1,MEDIUM,batch
TRF-zone-02-banjara-hills-001,zone-02-banjara-hills,2026-06-11 08:00:00,89,45.2,LOW,batch
TRF-zone-02-banjara-hills-002,zone-02-banjara-hills,2026-06-11 08:00:00,112,38.7,LOW,batch
TRF-zone-02-banjara-hills-003,zone-02-banjara-hills,2026-06-11 08:00:00,134,31.4,MEDIUM,batch
TRF-zone-03-jubilee-hills-001,zone-03-jubilee-hills,2026-06-11 08:00:00,201,19.8,HIGH,batch
TRF-zone-03-jubilee-hills-002,zone-03-jubilee-hills,2026-06-11 08:00:00,178,24.6,HIGH,batch
TRF-zone-03-jubilee-hills-003,zone-03-jubilee-hills,2026-06-11 08:00:00,145,33.2,MEDIUM,batch
TRF-zone-04-gachibowli-001,zone-04-gachibowli,2026-06-11 08:00:00,267,15.3,HIGH,batch
TRF-zone-04-gachibowli-002,zone-04-gachibowli,2026-06-11 08:00:00,223,17.9,HIGH,batch
TRF-zone-04-gachibowli-003,zone-04-gachibowli,2026-06-11 08:00:00,189,26.4,HIGH,batch
TRF-zone-05-madhapur-001,zone-05-madhapur,2026-06-11 08:00:00,156,29.7,MEDIUM,batch
TRF-zone-05-madhapur-002,zone-05-madhapur,2026-06-11 08:00:00,134,34.1,MEDIUM,batch
TRF-zone-05-madhapur-003,zone-05-madhapur,2026-06-11 08:00:00,98,41.8,LOW,batch
TRF-zone-06-kondapur-001,zone-06-kondapur,2026-06-11 08:00:00,78,48.3,LOW,batch
TRF-zone-06-kondapur-002,zone-06-kondapur,2026-06-11 08:00:00,92,43.6,LOW,batch
TRF-zone-06-kondapur-003,zone-06-kondapur,2026-06-11 08:00:00,115,37.2,LOW,batch
TRF-zone-07-kukatpally-001,zone-07-kukatpally,2026-06-11 08:00:00,234,16.8,HIGH,batch
TRF-zone-07-kukatpally-002,zone-07-kukatpally,2026-06-11 08:00:00,212,20.5,HIGH,batch
TRF-zone-07-kukatpally-003,zone-07-kukatpally,2026-06-11 08:00:00,187,25.9,HIGH,batch
TRF-zone-08-secunderabad-001,zone-08-secunderabad,2026-06-11 08:00:00,143,32.4,MEDIUM,batch
TRF-zone-08-secunderabad-002,zone-08-secunderabad,2026-06-11 08:00:00,121,36.8,MEDIUM,batch
TRF-zone-08-secunderabad-003,zone-08-secunderabad,2026-06-11 08:00:00,167,28.3,MEDIUM,batch
TRF-zone-09-begumpet-001,zone-09-begumpet,2026-06-11 08:00:00,189,24.1,HIGH,batch
TRF-zone-09-begumpet-002,zone-09-begumpet,2026-06-11 08:00:00,156,29.8,MEDIUM,batch
TRF-zone-09-begumpet-003,zone-09-begumpet,2026-06-11 08:00:00,134,34.5,MEDIUM,batch
TRF-zone-10-ameerpet-001,zone-10-ameerpet,2026-06-11 08:00:00,278,14.2,HIGH,batch
TRF-zone-10-ameerpet-002,zone-10-ameerpet,2026-06-11 08:00:00,245,17.6,HIGH,batch
TRF-zone-10-ameerpet-003,zone-10-ameerpet,2026-06-11 08:00:00,198,22.8,HIGH,batch
